======================================================================
Phase 1: Differential Evolution - Seed 0
======================================================================
Using workers=25
DE Iter 20400: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 20500: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 20600: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 20700: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 20800: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 20900: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 21000: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 21100: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 21200: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 21300: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 21400: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 21500: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 21600: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 21700: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 21800: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 21900: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 22000: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 22100: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 22200: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 22300: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 22400: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 22500: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 22600: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 22700: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 22800: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 22900: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 23000: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 23100: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 23200: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 23300: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 23400: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
DE Iter 23500: Loss=7.556884e-07 (Spread=7.556884e-07, PenIm=0.00e+00, convergence=0.000e+00)
