======================================================================
Phase 1: CMA-ES Optimization (Seed: 650)
======================================================================
CMA Gen 720: Loss=1.135662e+03 (Deg=6.765292e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 730: Loss=1.135662e+03 (Deg=6.765292e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 740: Loss=1.135662e+03 (Deg=6.765393e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 750: Loss=1.135662e+03 (Deg=6.765393e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 760: Loss=1.135662e+03 (Deg=6.765393e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 770: Loss=1.135662e+03 (Deg=6.765393e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 780: Loss=1.135662e+03 (Deg=6.765393e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 790: Loss=1.135662e+03 (Deg=6.765393e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 800: Loss=1.135662e+03 (Deg=6.765393e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 810: Loss=1.135662e+03 (Deg=6.765393e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 820: Loss=1.135662e+03 (Deg=6.765393e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 830: Loss=1.135662e+03 (Deg=6.765393e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 840: Loss=1.135662e+03 (Deg=6.765393e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 850: Loss=1.135662e+03 (Deg=6.765393e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 860: Loss=1.135662e+03 (Deg=6.765393e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 870: Loss=1.135662e+03 (Deg=6.765393e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 880: Loss=1.135662e+03 (Deg=6.765393e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 890: Loss=1.135662e+03 (Deg=6.765393e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 900: Loss=1.135662e+03 (Deg=6.765393e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 910: Loss=1.135662e+03 (Deg=6.765393e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 920: Loss=1.135662e+03 (Deg=6.765393e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 930: Loss=1.135662e+03 (Deg=6.765393e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 940: Loss=1.135662e+03 (Deg=6.765393e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 950: Loss=1.135662e+03 (Deg=6.765364e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 960: Loss=1.135662e+03 (Deg=6.765364e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 970: Loss=1.135662e+03 (Deg=6.765364e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 980: Loss=1.135662e+03 (Deg=6.765364e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 990: Loss=1.135662e+03 (Deg=6.765364e+01, PenRe=0.00e+00, PenIm=5.34e+01)
CMA Gen 1000: Loss=1.135662e+03 (Deg=6.765364e+01, PenRe=0.00e+00, PenIm=5.34e+01)
